Tên	STT	Loại	Dân số (người)	Diện tích (km2)	Mật độ (người/km2)	Sáp nhập toàn bộ từ	Sáp nhập một phần từ	Giáp ranh	Full Address 1	Latitude 1	Longitude 1	SĐT	AFF+MAF  hiện tại	AFF+MAF  2030	CN hiện có	CN cần có	SLCN	Thị trường thừa/ thiếu	Mật độ Aff+Maf	TỈNH	GHÉP ĐVHC
Bà Rịa	13	Phường	52265	16	3361	Phường Phước Trung, Phường Phước Nguyên, Phường Long Toàn, Phường Phước Hưng (TP. Bà Rịa)		phường Long Hương, phường Tam Long, phường Phước Thắng và xã Long Điền	Số 221 Cách mạng Tháng Tám, phường Bà Rịa	10,498699	107,167995	2543711781	12.808	16.858	1	0	1	Thừa CN	801	Thành phố Hồ Chí Minh	Bà RịaThành phố Hồ Chí Minh
Tam Long	117	Phường	41130	35	1185	Phường Long Tâm (TP. Bà Rịa), Xã Hoà Long (TP. Bà Rịa), Xã Long Phước (TP. Bà Rịa)		phường Long Hương, phường Bà Rịa, xã Long Điền, xã Đất Đỏ và xã Nghĩa Thành	Tỉnh lộ 52, Ấp Đông, phường Tam Long	10,521766	107,207832	2543751844	10.081	13.268	0	0	0	Đủ CN	288	Thành phố Hồ Chí Minh	Tam LongThành phố Hồ Chí Minh
Côn Đảo	54	Đặc khu	6502	76	86	Huyện Côn Đảo		không	Số 28, Tôn Đức Thắng, Đặc Khu Côn Đảo	8,682211	106,607268	2543830176	3.134	4.127	0	0	0	Đủ CN	41	Thành phố Hồ Chí Minh	Côn ĐảoThành phố Hồ Chí Minh
Ngãi Giao	92	Xã	49065	69	708	Thị trấn Ngãi Giao, Xã Bình Ba, Xã Suối Nghệ (H. Châu Đức)		xã Bình Giã, xã Kim Long, phường Tân Thành, xã Châu Pha và xã Nghĩa Thành	Số 70 Trần Hưng Đạo, xã Ngãi Giao	10,655253	107,243237	2543881125	7.781	10.221	0	0	0	Đủ CN	113	Thành phố Hồ Chí Minh	Ngãi GiaoThành phố Hồ Chí Minh
Nghĩa Thành	93	Xã	27819	66	424	Xã Đá Bạc (H. Châu Đức), Xã Nghĩa Thành (H. Châu Đức)		phường Long Hương, phường Tam Long, xã Đất Đỏ, xã Xuân Sơn, xã Bình Giã, xã Ngãi Giao và xã Châu Pha	Tổ 6 thôn Sông Cầu, xã Nghĩa Thành	10,567849	107,211527	2543881204	4.411	5.794	0	0	0	Đủ CN	67	Thành phố Hồ Chí Minh	Nghĩa ThànhThành phố Hồ Chí Minh
Châu Đức	50	Xã	28240	85	334	Xã Cù Bị (H. Châu Đức), Xã Xà Bang (H. Châu Đức)		xã Bình Giã, xã Kim Long, phường Tân Thành và tỉnh Đồng Nai	Ấp Liên Lộc, xã Châu Đức	10,727754	107,237226	2543885121	4.479	5.882	0	0	0	Đủ CN	53	Thành phố Hồ Chí Minh	Châu ĐứcThành phố Hồ Chí Minh
Xuân Sơn	166	Xã	27368	74	371	Xã Suối Rao (H. Châu Đức), Xã Xuân Sơn (H. Châu Đức), Xã Sơn Bình (H. Châu Đức)		xã Bình Giã, xã Nghĩa Thành, xã Đất Đỏ, xã Hồ Tràm, xã Hoà Hội và xã Bàu Lâm	Tổ 11, thôn Xuân Tân, xã Xuân Sơn	10,647031	107,329116	2543887279	4.340	5.701	0	0	0	Đủ CN	59	Thành phố Hồ Chí Minh	Xuân SơnThành phố Hồ Chí Minh
Bình Giã	26	Xã	34262	67	512	Xã Bình Trung (H. Châu Đức), Xã Bình Giã (H. Châu Đức), Xã Quảng Thành (H. Châu Đức)		xã Châu Đức, xã Kim Long, xã Ngãi Giao, xã Nghĩa Thành, xã Xuân Sơn và tỉnh Đồng Nai	Đường Mỹ xuân-Hoà bình, tổ 1, ấp Vĩnh Bình, xã Bình Giã	10,645235	107,255145	2543968533	5.433	7.137	0	0	0	Đủ CN	81	Thành phố Hồ Chí Minh	Bình GiãThành phố Hồ Chí Minh
Kim Long	78	Xã	33369	64	522	Thị trấn Kim Long, Xã Bàu Chinh, Xã Láng Lớn (H. Châu Đức)		xã Bình Giã, xã Châu Đức, phường Tân Thành và xã Ngãi Giao	Tổ 19, xã Kim Long	10,702277	107,244080	2543985120	5.292	6.951	0	0	0	Đủ CN	83	Thành phố Hồ Chí Minh	Kim LongThành phố Hồ Chí Minh
Bến Cát	19	Phường	97928	101	971	Xã Lai Hưng (H. Bàu Bàng), Xã Tân Hưng (H. Bàu Bàng)	Phường Mỹ Phước (TP. Bến Cát)	phường Chánh Phú Hoà, phường Long Nguyên, phường Thới Hoà, xã Bàu Bàng và xã An Long	Đường 30 Tháng 4, phường Bến Cát	11,152058	106,593541	2743559732	9.297	12.127	1	0	1	Thừa CN	92	Thành phố Hồ Chí Minh	Bến CátThành phố Hồ Chí Minh
